frame,class,conf,x1,y1,x2,y2
159,0,0.6353,1122,518,1146,542
160,0,0.8960,1867,630,1906,667
160,0,0.5488,1119,512,1144,539
161,0,0.8960,1867,630,1906,667
161,0,0.5059,1116,507,1142,532
162,0,0.8945,1867,630,1906,667
162,0,0.5640,1106,501,1137,528
163,0,0.8921,1867,630,1906,667
163,0,0.8184,1106,496,1131,520
164,0,0.8921,1867,630,1906,668
164,0,0.7944,1107,491,1128,513
165,0,0.8936,1867,630,1906,667
165,0,0.6890,1103,484,1125,505
166,0,0.8921,1867,630,1906,667
166,0,0.7202,1096,477,1120,501
167,0,0.8911,1867,630,1906,668
167,0,0.7520,1089,471,1112,495
168,0,0.8921,1867,630,1906,667
168,0,0.7817,1081,469,1105,493
169,0,0.8921,1867,630,1906,667
169,0,0.7686,1074,464,1097,489
170,0,0.8911,1867,630,1906,667
170,0,0.6387,1066,463,1089,484
171,0,0.8926,1867,630,1906,667
171,0,0.6367,1058,462,1079,482
172,0,0.8921,1867,630,1906,667
172,0,0.1566,1048,460,1069,481
173,0,0.8911,1867,630,1906,668
173,0,0.7607,1038,452,1061,474
174,0,0.8960,1867,630,1906,667
175,0,0.8950,1867,630,1906,667
176,0,0.8926,1867,630,1906,668
176,0,0.8115,1016,420,1038,443
177,0,0.8950,1867,630,1906,667
177,0,0.6245,1012,406,1033,429
178,0,0.8950,1867,630,1906,667
178,0,0.7666,1010,393,1034,416
179,0,0.8936,1867,630,1906,667
179,0,0.7759,1011,381,1034,402
180,0,0.8950,1867,630,1906,667
180,0,0.7520,1013,370,1035,393
181,0,0.8950,1867,630,1906,667
181,0,0.5928,1017,363,1040,386
182,0,0.8960,1867,630,1906,667
182,0,0.1495,1020,357,1044,380
183,0,0.8975,1867,630,1906,667
183,0,0.7446,1025,355,1047,378
184,0,0.8960,1867,630,1906,668
184,0,0.7593,1026,355,1049,378
185,0,0.8984,1867,630,1906,667
185,0,0.7324,1026,357,1049,380
186,0,0.8960,1867,630,1906,668
186,0,0.6440,1024,358,1048,381
187,0,0.8960,1867,630,1906,668
187,0,0.4399,1023,358,1045,382
188,0,0.8960,1867,630,1906,668
188,0,0.3142,1017,358,1041,382
189,0,0.8950,1867,630,1906,668
189,0,0.1842,1009,359,1033,381
190,0,0.8945,1867,630,1906,667
190,0,0.2776,999,361,1023,385
191,0,0.8945,1867,630,1906,667
191,0,0.6245,988,363,1015,386
192,0,0.8945,1867,630,1906,668
192,0,0.6772,976,370,1000,391
193,0,0.8960,1867,630,1906,668
193,0,0.6689,968,382,987,400
194,0,0.8960,1867,630,1906,667
194,0,0.3721,952,397,976,423
195,0,0.8960,1867,630,1906,667
195,0,0.5757,937,410,961,434
196,0,0.8950,1867,630,1906,667
196,0,0.4854,925,421,949,444
197,0,0.8975,1867,630,1906,667
197,0,0.2452,983,396,1002,412
198,0,0.8945,1867,630,1906,667
198,0,0.6602,903,451,926,472
199,0,0.8960,1867,630,1906,667
199,0,0.8257,891,467,911,488
200,0,0.8975,1867,630,1906,667
201,0,0.8975,1867,630,1906,667
202,0,0.8975,1867,630,1906,667
