frame,class,conf,x1,y1,x2,y2
1192,0,0.7993,1060,426,1081,447
1193,0,0.5234,1072,440,1093,458
1194,0,0.6689,1086,446,1104,465
1195,0,0.5342,1099,463,1119,481
1196,0,0.7798,1111,474,1129,494
1197,0,0.7202,1121,488,1143,509
1198,0,0.6353,1134,501,1154,521
1199,0,0.1597,1153,531,1174,552
1200,0,0.1089,1170,553,1190,577
1201,0,0.7007,1175,563,1194,582
1205,0,0.6387,1172,581,1199,609
1206,0,0.7578,1153,562,1177,586
1208,0,0.1376,1128,538,1145,556
1209,0,0.1536,1126,537,1144,554
1210,0,0.6875,1108,526,1128,544
1211,0,0.2385,1091,510,1113,530
1212,0,0.7310,1078,501,1098,520
1213,0,0.7842,1064,492,1083,510
1215,0,0.7554,1034,473,1053,492
1216,0,0.3804,1018,466,1039,486
1217,0,0.2443,1005,461,1023,480
1218,0,0.2532,979,452,997,468
1219,0,0.7798,966,447,984,463
1221,0,0.8018,938,444,957,461
1223,0,0.7759,911,443,930,461
1224,0,0.5283,898,445,916,462
1225,0,0.6826,883,448,903,463
1226,0,0.7173,873,447,894,464
1227,0,0.6440,861,453,878,471
1228,0,0.6440,861,453,878,471
1229,0,0.2273,464,484,484,505
1230,0,0.6621,835,465,855,482
1231,0,0.7759,823,468,843,486
1232,0,0.6978,812,478,831,496
1233,0,0.1556,801,485,819,504
1234,0,0.7056,791,489,810,508
1235,0,0.4670,791,473,810,492
1235,0,0.1117,464,484,485,505
1236,0,0.6562,795,451,809,466
1236,0,0.1136,465,484,485,505
1237,0,0.7578,798,417,816,437
1238,0,0.7563,801,400,819,420
1239,0,0.2598,802,383,823,405
1240,0,0.1060,803,370,824,391
1242,0,0.5830,811,344,829,363
1243,0,0.7158,813,332,831,351
1244,0,0.7759,816,321,833,340
1245,0,0.2081,819,311,835,330
1246,0,0.7891,822,302,839,321
1247,0,0.7891,822,302,839,321
1248,0,0.7139,823,294,841,314
1249,0,0.5889,826,285,846,305
1254,0,0.2847,837,262,857,283
1255,0,0.7246,840,261,859,280
1256,0,0.7905,844,260,862,279
1257,0,0.7876,845,260,864,279
1258,0,0.7339,847,261,868,281
1259,0,0.3657,849,262,869,283
1261,0,0.1019,854,270,876,289
1262,0,0.6689,858,275,879,298
1263,0,0.7104,859,283,877,302
